campaign_id,CampaignName,CampaignStatus,AdsetId,AdsetName,AdsetGoal,AdId,AdName,AdStatus,AdInsightsDate,Clicks,Impressions,CTR,InlineLinkClicks,Reach,Spend,Revenue_1d_click,Revenue_7d_click,Revenue_28d_click,Revenue_1d_view,Revenue_7d_view,Revenue_28d_view,UniqueInlineLinkClicks,UniqueClicks,CampaignCreatedTime,CampaignStartTime,CampaignStopTime,CampaignObjective,CampaignLifetimeBudget,CampaignDailyBudget,PostEngagements,Frequency,instagram_permalink_url,_BATCH_ID_,_BATCH_LAST_RUN_
120204689779290085,Visit Greenville,ACTIVE,120204689779350085,Greenville Defined Target Markets,LINK_CLICKS,120204689779390085,Post 1,PAUSED,2024-01-08,86,2391,3.596821,23,2024,6.01,0,0,0,0,0,0,23,81,2023-12-22 14:11:32,2023-12-22 14:11:32,2024-04-01 23:59:42,OUTCOME_TRAFFIC,,,34,1.181324,https://www.instagram.com/p/C2Pxxr0NFYP/,145,2025-02-02 10:32:07
120204689779290085,Visit Greenville,ACTIVE,120204689779350085,Greenville Defined Target Markets,LINK_CLICKS,120204689779390085,Post 1,PAUSED,2024-01-09,125,2987,4.184801,25,2573,7.9,0,0,0,0,0,0,24,117,2023-12-22 14:11:32,2023-12-22 14:11:32,2024-04-01 23:59:42,OUTCOME_TRAFFIC,,,34,1.160902,https://www.instagram.com/p/C2Pxxr0NFYP/,145,2025-02-02 10:32:07
120204689779290085,Visit Greenville,ACTIVE,120204689779350085,Greenville Defined Target Markets,LINK_CLICKS,120204689779390085,Post 1,PAUSED,2024-01-10,113,3035,3.723229,26,2623,7.7,0,0,0,0,0,0,26,110,2023-12-22 14:11:32,2023-12-22 14:11:32,2024-04-01 23:59:42,OUTCOME_TRAFFIC,,,36,1.157072,https://www.instagram.com/p/C2Pxxr0NFYP/,145,2025-02-02 10:32:07
120201007698220085,Lakeside Lodge Clemson,ACTIVE,120201007699240085,East Coast + Clemson Fans + 35+,REACH,120201007701260085,Lakeside Lodge,ACTIVE,2023-10-18,4,4449,0.089908,1,4343,4.93,0,0,0,0,0,0,1,3,2023-10-18 17:15:07,2023-10-18 17:15:08,2023-11-05 23:00:42,OUTCOME_AWARENESS,25000,,2,1.024407,https://www.instagram.com/p/Cyjg1FPtrty/,1,2025-01-22 14:50:05
120204689779290085,Visit Greenville,ACTIVE,120204689779350085,Greenville Defined Target Markets,LINK_CLICKS,120204689779390085,Post 1,PAUSED,2024-01-11,128,3295,3.884674,39,2760,8.53,0,0,0,0,0,0,37,115,2023-12-22 14:11:32,2023-12-22 14:11:32,2024-04-01 23:59:42,OUTCOME_TRAFFIC,,,53,1.193841,https://www.instagram.com/p/C2Pxxr0NFYP/,145,2025-02-02 10:32:07
120201007698220085,Lakeside Lodge Clemson,ACTIVE,120201007699240085,East Coast + Clemson Fans + 35+,REACH,120201007701260085,Lakeside Lodge,ACTIVE,2023-10-19,16,8381,0.190908,5,7930,13.09,0,0,0,0,0,0,5,16,2023-10-18 17:15:07,2023-10-18 17:15:08,2023-11-05 23:00:42,OUTCOME_AWARENESS,25000,,6,1.056873,https://www.instagram.com/p/Cyjg1FPtrty/,1,2025-01-22 14:50:05
120204689779290085,Visit Greenville,ACTIVE,120204689779350085,Greenville Defined Target Markets,LINK_CLICKS,120204689779390085,Post 1,PAUSED,2024-01-12,208,6698,3.105405,70,5680,18.94,0,0,0,0,0,0,68,187,2023-12-22 14:11:32,2023-12-22 14:11:32,2024-04-01 23:59:42,OUTCOME_TRAFFIC,,,92,1.179225,https://www.instagram.com/p/C2Pxxr0NFYP/,145,2025-02-02 10:32:07
120201007698220085,Lakeside Lodge Clemson,ACTIVE,120201007699240085,East Coast + Clemson Fans + 35+,REACH,120201007701260085,Lakeside Lodge,ACTIVE,2023-10-20,17,8245,0.206186,5,8209,12.96,0,0,0,0,0,0,4,14,2023-10-18 17:15:07,2023-10-18 17:15:08,2023-11-05 23:00:42,OUTCOME_AWARENESS,25000,,6,1.004385,https://www.instagram.com/p/Cyjg1FPtrty/,1,2025-01-22 14:50:05
120201007698220085,Lakeside Lodge Clemson,ACTIVE,120201007699240085,East Coast + Clemson Fans + 35+,REACH,120201007701260085,Lakeside Lodge,ACTIVE,2023-10-21,23,9087,0.253109,6,9087,14.24,0,0,0,0,0,0,5,20,2023-10-18 17:15:07,2023-10-18 17:15:08,2023-11-05 23:00:42,OUTCOME_AWARENESS,25000,,7,1,https://www.instagram.com/p/Cyjg1FPtrty/,1,2025-01-22 14:50:05
120201007698220085,Lakeside Lodge Clemson,ACTIVE,120201007699240085,East Coast + Clemson Fans + 35+,REACH,120201007701260085,Lakeside Lodge,ACTIVE,2023-10-22,33,9899,0.333367,3,9891,15.02,0,0,0,0,0,0,3,32,2023-10-18 17:15:07,2023-10-18 17:15:08,2023-11-05 23:00:42,OUTCOME_AWARENESS,25000,,5,1.000809,https://www.instagram.com/p/Cyjg1FPtrty/,1,2025-01-22 14:50:05
