CampaignId,CampaignName,CampaignStatus,AdSetId,AdSetName,AdSetGoal,AdId,AdName,AdStatus,CreativeId,instagram_permalink_url,AdInsightsDate,Impressions,Reach,Frequency,CTR,Spend,Clicks,UniqueClicks,InlineLinkClicks,UniqueInlineLinkClicks,PostEngagements,Revenue_1d_click,Revenue_7d_click,Revenue_28d_click,Revenue_1d_view,Revenue_7d_view,Revenue_28d_view,CampaignCreatedTime,CampaignStartTime,CampaignStopTime,CampaignObjective,CampaignLifetimeBudget,CampaignDailyBudget
120200099061160766,MBB23 Carousel Ads,PAUSED,120200099061310766,Affinity Groups + GMU 15 Miles,LINK_CLICKS,120200099061380766,MBB Carousel,ACTIVE,120200825253620766,https://www.instagram.com/p/C0HOYKzNcA5/,2023-11-19,2687,2497,1.076091,1.079271,10.25,29,27,13,13,17,0,0,0,0,0,0,2023-11-06 12:21:25,2023-11-06 12:21:26,,OUTCOME_TRAFFIC,,2500
120200099061160766,MBB23 Carousel Ads,PAUSED,120200099061310766,Affinity Groups + GMU 15 Miles,LINK_CLICKS,120200099061380766,MBB Carousel,ACTIVE,120200825253620766,https://www.instagram.com/p/C0HOYKzNcA5/,2023-11-20,2182,2021,1.079664,0.412466,9.41,9,9,6,6,7,0,0,0,20,20,0,2023-11-06 12:21:25,2023-11-06 12:21:26,,OUTCOME_TRAFFIC,,2500
23861963901700765,MBB Single Game,PAUSED,23861964108650765,Custom Lists,LINK_CLICKS,120201875267760766,$10 Ticket Promo,PAUSED,120202064184910766,https://www.instagram.com/p/C0zX2_jNVq0/,2024-01-02,6481,5546,1.16859,1.018361,17.65,66,56,38,38,46,0,0,0,0,25,0,2023-10-20 10:58:47,2023-10-20 10:58:47,,OUTCOME_TRAFFIC,,2500
120200099061160766,MBB23 Carousel Ads,PAUSED,120200099061310766,Affinity Groups + GMU 15 Miles,LINK_CLICKS,120200099061380766,MBB Carousel,ACTIVE,120200825253620766,https://www.instagram.com/p/C0HOYKzNcA5/,2023-11-21,1765,1624,1.086823,1.303116,7.91,23,22,14,14,18,0,0,0,0,0,0,2023-11-06 12:21:25,2023-11-06 12:21:26,,OUTCOME_TRAFFIC,,2500
23861963901700765,MBB Single Game,PAUSED,23861964108650765,Custom Lists,LINK_CLICKS,120201875267760766,$10 Ticket Promo,PAUSED,120202064184910766,https://www.instagram.com/p/C0zX2_jNVq0/,2024-01-03,5295,4693,1.128276,0.982059,16.41,52,48,31,31,40,0,0,0,0,0,0,2023-10-20 10:58:47,2023-10-20 10:58:47,,OUTCOME_TRAFFIC,,2500
120200099061160766,MBB23 Carousel Ads,PAUSED,120200099061310766,Affinity Groups + GMU 15 Miles,LINK_CLICKS,120200099061380766,MBB Carousel,ACTIVE,120200825253620766,https://www.instagram.com/p/C0HOYKzNcA5/,2023-11-22,1630,1507,1.081619,0.797546,6.79,13,13,10,10,10,0,0,0,0,0,0,2023-11-06 12:21:25,2023-11-06 12:21:26,,OUTCOME_TRAFFIC,,2500
23861963901700765,MBB Single Game,PAUSED,23861964108650765,Custom Lists,LINK_CLICKS,120201875267760766,$10 Ticket Promo,PAUSED,120202064184910766,https://www.instagram.com/p/C0zX2_jNVq0/,2024-01-04,4552,4091,1.112686,0.593146,13.81,27,25,13,13,18,0,20,20,0,0,20,2023-10-20 10:58:47,2023-10-20 10:58:47,,OUTCOME_TRAFFIC,,2500
120200099061160766,MBB23 Carousel Ads,PAUSED,120200099061310766,Affinity Groups + GMU 15 Miles,LINK_CLICKS,120200099061380766,MBB Carousel,ACTIVE,120200825253620766,https://www.instagram.com/p/C0HOYKzNcA5/,2023-11-23,1450,1348,1.075668,1.37931,6.44,20,20,16,16,18,0,0,0,0,0,0,2023-11-06 12:21:25,2023-11-06 12:21:26,,OUTCOME_TRAFFIC,,2500
23861963901700765,MBB Single Game,PAUSED,23861964108650765,Custom Lists,LINK_CLICKS,120201875267760766,$10 Ticket Promo,PAUSED,120202064184910766,https://www.instagram.com/p/C0zX2_jNVq0/,2024-01-05,3668,3334,1.10018,0.954198,10.96,35,30,20,19,23,0,20,20,0,115,20,2023-10-20 10:58:47,2023-10-20 10:58:47,,OUTCOME_TRAFFIC,,2500
120200099061160766,MBB23 Carousel Ads,PAUSED,120200099061310766,Affinity Groups + GMU 15 Miles,LINK_CLICKS,120200099061380766,MBB Carousel,ACTIVE,120200825253620766,https://www.instagram.com/p/C0HOYKzNcA5/,2023-11-24,877,821,1.06821,0.570125,4.01,5,5,6,6,7,0,0,0,0,0,0,2023-11-06 12:21:25,2023-11-06 12:21:26,,OUTCOME_TRAFFIC,,2500
